timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654177110703,1,Login-1,200,OK,Thread Group 1-22,text,true,,5069,960,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177110961,1,Sign Out,200,OK,Thread Group 1-15,text,true,,5255,1693,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177110961,1,Sign Out-0,302,Found,Thread Group 1-15,,true,,333,851,11,11,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177110962,0,Sign Out-1,200,OK,Thread Group 1-15,text,true,,4922,842,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177111076,1,Dogs,200,OK,Thread Group 1-19,text,true,,4296,248,10,10,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,1,0,0
1654177111088,2,Login,200,OK,Thread Group 1-23,text,true,,5262,2175,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177111088,1,Login-0,302,Found,Thread Group 1-23,,true,,193,1215,10,10,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177111089,1,Login-1,200,OK,Thread Group 1-23,text,true,,5069,960,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177111403,2,Reptiles,200,OK,Thread Group 1-20,text,true,,3712,252,10,10,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1654177111415,3,Sign Out,200,OK,Thread Group 1-16,text,true,,5255,1693,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177111415,2,Sign Out-0,302,Found,Thread Group 1-16,,true,,333,851,10,10,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1654177111417,1,Sign Out-1,200,OK,Thread Group 1-16,text,true,,4922,842,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177111450,2,Login,200,OK,Thread Group 1-24,text,true,,5262,2175,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177111450,2,Login-0,302,Found,Thread Group 1-24,,true,,193,1215,9,9,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1654177111452,0,Login-1,200,OK,Thread Group 1-24,text,true,,5069,960,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177111800,2,Sign Out,200,OK,Thread Group 1-17,text,true,,5255,1693,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177111800,1,Sign Out-0,302,Found,Thread Group 1-17,,true,,333,851,9,9,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177111802,0,Sign Out-1,200,OK,Thread Group 1-17,text,true,,4922,842,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177111893,1,Birds,200,OK,Thread Group 1-21,text,true,,3710,249,8,8,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,1,0,0
1654177111916,2,Login,200,OK,Thread Group 1-25,text,true,,5262,2175,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177111916,1,Login-0,302,Found,Thread Group 1-25,,true,,193,1215,8,8,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177111917,1,Login-1,200,OK,Thread Group 1-25,text,true,,5069,960,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112240,2,Dogs,200,OK,Thread Group 1-22,text,true,,4296,248,8,8,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,2,0,0
1654177112240,2,Sign Out,200,OK,Thread Group 1-18,text,true,,5255,1693,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112240,1,Sign Out-0,302,Found,Thread Group 1-18,,true,,333,851,8,8,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177112241,1,Sign Out-1,200,OK,Thread Group 1-18,text,true,,4922,842,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112630,1,Reptiles,200,OK,Thread Group 1-23,text,true,,3712,252,7,7,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1654177112634,2,Sign Out,200,OK,Thread Group 1-19,text,true,,5255,1693,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112634,1,Sign Out-0,302,Found,Thread Group 1-19,,true,,333,851,7,7,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177112635,1,Sign Out-1,200,OK,Thread Group 1-19,text,true,,4922,842,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112912,2,Sign Out,200,OK,Thread Group 1-20,text,true,,5255,1693,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112912,1,Sign Out-0,302,Found,Thread Group 1-20,,true,,333,851,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177112913,1,Sign Out-1,200,OK,Thread Group 1-20,text,true,,4922,842,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177112978,2,Birds,200,OK,Thread Group 1-24,text,true,,3710,249,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,2,0,0
1654177113433,2,Sign Out,200,OK,Thread Group 1-21,text,true,,5255,1693,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177113433,1,Sign Out-0,302,Found,Thread Group 1-21,,true,,333,851,5,5,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177113434,1,Sign Out-1,200,OK,Thread Group 1-21,text,true,,4922,842,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177113447,1,Dogs,200,OK,Thread Group 1-25,text,true,,4296,248,4,4,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,1,0,0
1654177113817,2,Sign Out,200,OK,Thread Group 1-22,text,true,,5255,1693,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177113817,1,Sign Out-0,302,Found,Thread Group 1-22,,true,,333,851,4,4,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177113818,1,Sign Out-1,200,OK,Thread Group 1-22,text,true,,4922,842,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177114154,2,Sign Out,200,OK,Thread Group 1-23,text,true,,5255,1693,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177114154,1,Sign Out-0,302,Found,Thread Group 1-23,,true,,333,851,3,3,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177114155,1,Sign Out-1,200,OK,Thread Group 1-23,text,true,,4922,842,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177114578,1,Sign Out,200,OK,Thread Group 1-24,text,true,,5255,1693,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177114578,0,Sign Out-0,302,Found,Thread Group 1-24,,true,,333,851,2,2,http://localhost:8080/jpetstore/actions/Account.action?signoff=,0,0,0
1654177114579,0,Sign Out-1,200,OK,Thread Group 1-24,text,true,,4922,842,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177115029,1,Sign Out,200,OK,Thread Group 1-25,text,true,,5255,1693,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177115029,1,Sign Out-0,302,Found,Thread Group 1-25,,true,,333,851,1,1,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177115030,0,Sign Out-1,200,OK,Thread Group 1-25,text,true,,4922,842,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
